target_id,speaker,sex,dob,city_born,lexset,word,start,end,pre_seg,fol_seg,F1,F2,F3
3005,GraceG,F,1994,Manchester,DRESS,apparently,909.187,909.217,P,R,963.2,1512.3,2318.9
3006,GraceG,F,1994,Manchester,KIT,didn't,909.478,909.508,D,N,453.7,2001.5,3128.6
3007,GraceG,F,1994,Manchester,GOOSE,room,911.307,911.427,R,M,413.3,2255,3343.4
3008,GraceG,F,1994,Manchester,PRICE,i've,913.308,913.348,S,V,704.1,1654.1,3013.2
3009,GraceG,F,1994,Manchester,TRAP,massive,913.768,913.838,M,S,828.6,1441.9,2876.7
3010,GraceG,F,1994,Manchester,TRAP,family,914.088,914.157,F,M,733.6,1345,2712.8
3011,GraceG,F,1994,Manchester,PRICE,i've,920.628,920.668,L,V,598.2,1368.7,2820.7
3012,GraceG,F,1994,Manchester,LOT,gotta,920.758,920.868,G,T,792.6,1506.1,2575.7
3013,GraceG,F,1994,Manchester,FACE,make,920.967,921.077,M,K,486.9,2437.2,3423.8
3014,GraceG,F,1994,Manchester,FACE,maybe,927.977,928.107,M,B,515,2425,3309.2
3015,GraceG,F,1994,Manchester,TRAP,family,932.388,932.427,F,M,809.2,1492.9,2756.9
3016,GraceG,F,1994,Manchester,TRAP,yeah,946.458,946.738,Y,AH0,787.4,2351.6,4574.1
3017,GraceG,F,1994,Manchester,PRICE,i,949.408,949.458,ER0,F,752.1,1938,2656.3
3018,GraceG,F,1994,Manchester,TRAP,exams,949.918,950.008,Z,M,987.2,1579.4,2417.5
3019,GraceG,F,1994,Manchester,GOAT,going,951.593,951.653,G,IH0,640.4,1302.6,3327.2
3020,GraceG,F,1994,Manchester,NORTH,florence,952.703,952.752,L,R,715.8,1004.9,1566.3
3021,GraceG,F,1994,Manchester,DRESS,went,964.013,964.043,W,N,924.3,1602.8,3564.9
3022,GraceG,F,1994,Manchester,TRAP,last,964.263,964.462,L,S,766.6,2092.5,2925.6
3023,GraceG,F,1994,Manchester,KIT,year,964.522,964.552,Y,R,595.1,1512.1,3526.2
3024,GraceG,F,1994,Manchester,DRESS,well,964.933,964.962,W,L,549.8,1761.9,3336.7
3025,GraceG,F,1994,Manchester,PRICE,like,965.462,965.703,L,K,898.7,1770.4,2776.9
3026,GraceG,F,1994,Manchester,PRICE,my,972.152,972.203,M,B,650.5,1380.8,2734.8
3027,GraceG,F,1994,Manchester,GOAT,so,975.132,975.392,S,HH,809.1,1646,2781.4
3028,GraceG,F,1994,Manchester,MOUTH,now,976.403,976.532,N,SP,636.7,1761.1,3835
3029,GraceG,F,1994,Manchester,STRUT,because,977.942,977.982,K,Z,516.3,2122.2,4703.2
3030,GraceG,F,1994,Manchester,PRICE,i'm,978.093,978.172,Z,M,991.9,1908,2443.2
3031,GraceG,F,1994,Manchester,GOOSE,uni,978.462,978.492,Y,N,426.4,2301.1,3569.4
3032,GraceG,F,1994,Manchester,DRESS,any,978.972,979.012,V,N,445.4,2130,3401.4
3033,GraceG,F,1994,Manchester,KIT,jib,980.703,980.783,JH,B,483.1,2115.1,3470.8
3034,GraceG,F,1994,Manchester,STRUT,mum,981.263,981.323,M,M,436.4,1614.3,2476.8
